"ID";"Counts";"Category"
"F:GO:0005516";7;"Molecular Function"
"F:GO:0005154";7;"Molecular Function"
"F:GO:0004497";7;"Molecular Function"
"F:GO:0003785";7;"Molecular Function"
"F:GO:0003777";7;"Molecular Function"
"F:GO:0003682";7;"Molecular Function"
"C:GO:0072372";7;"Cellular Component"
"C:GO:0043235";7;"Cellular Component"
"C:GO:0043197";7;"Cellular Component"
"C:GO:0036064";7;"Cellular Component"
"C:GO:0031941";7;"Cellular Component"
"C:GO:0030141";7;"Cellular Component"
"C:GO:0030017";7;"Cellular Component"
"C:GO:0019898";7;"Cellular Component"
"C:GO:0016459";7;"Cellular Component"
"C:GO:0016363";7;"Cellular Component"
"C:GO:0005881";7;"Cellular Component"
"C:GO:0005819";7;"Cellular Component"
"C:GO:0005814";7;"Cellular Component"
"C:GO:0005759";7;"Cellular Component"
"C:GO:0002199";7;"Cellular Component"
"P:GO:2001237";6;"Biological Process"
"P:GO:2000675";6;"Biological Process"
"P:GO:1900740";6;"Biological Process"
"P:GO:0090131";6;"Biological Process"
"P:GO:0050729";6;"Biological Process"
"P:GO:0048675";6;"Biological Process"
"P:GO:0048013";6;"Biological Process"
"P:GO:0045931";6;"Biological Process"
"P:GO:0045859";6;"Biological Process"
"P:GO:0043086";6;"Biological Process"
"P:GO:0042730";6;"Biological Process"
"P:GO:0042060";6;"Biological Process"
"P:GO:0035924";6;"Biological Process"
"P:GO:0035023";6;"Biological Process"
"P:GO:0034655";6;"Biological Process"
"P:GO:0034330";6;"Biological Process"
"P:GO:0032964";6;"Biological Process"
"P:GO:0032689";6;"Biological Process"
"P:GO:0031581";6;"Biological Process"
"P:GO:0031532";6;"Biological Process"
"P:GO:0031175";6;"Biological Process"
"P:GO:0030593";6;"Biological Process"
"P:GO:0030240";6;"Biological Process"
"P:GO:0030049";6;"Biological Process"
"P:GO:0030030";6;"Biological Process"
"P:GO:0018149";6;"Biological Process"
"P:GO:0016311";6;"Biological Process"
"P:GO:0016197";6;"Biological Process"
"P:GO:0009267";6;"Biological Process"
"P:GO:0008203";6;"Biological Process"
"P:GO:0007626";6;"Biological Process"
"P:GO:0007507";6;"Biological Process"
"P:GO:0007204";6;"Biological Process"
"P:GO:0007169";6;"Biological Process"
"P:GO:0007166";6;"Biological Process"
"P:GO:0007059";6;"Biological Process"
"P:GO:0006614";6;"Biological Process"
"P:GO:0006606";6;"Biological Process"
"P:GO:0006469";6;"Biological Process"
"P:GO:0006139";6;"Biological Process"
"P:GO:0006006";6;"Biological Process"
"P:GO:0003013";6;"Biological Process"
"P:GO:0001843";6;"Biological Process"
"P:GO:0001764";6;"Biological Process"
"P:GO:0001578";6;"Biological Process"
"P:GO:0001558";6;"Biological Process"
"P:GO:0000187";6;"Biological Process"
"F:GO:0050839";6;"Molecular Function"
"F:GO:0050661";6;"Molecular Function"
"F:GO:0044548";6;"Molecular Function"
"F:GO:0044212";6;"Molecular Function"
"F:GO:0019003";6;"Molecular Function"
"F:GO:0017166";6;"Molecular Function"
"F:GO:0017137";6;"Molecular Function"
"F:GO:0016209";6;"Molecular Function"
"F:GO:0008565";6;"Molecular Function"
"F:GO:0005543";6;"Molecular Function"
"F:GO:0005262";6;"Molecular Function"
"F:GO:0005044";6;"Molecular Function"
"F:GO:0004713";6;"Molecular Function"
"F:GO:0004674";6;"Molecular Function"
"F:GO:0004601";6;"Molecular Function"
"F:GO:0004298";6;"Molecular Function"
"F:GO:0004222";6;"Molecular Function"
"F:GO:0003756";6;"Molecular Function"
"F:GO:0003714";6;"Molecular Function"
"F:GO:0003690";6;"Molecular Function"
"F:GO:0003684";6;"Molecular Function"
"F:GO:0002162";6;"Molecular Function"
"F:GO:0000978";6;"Molecular Function"
"C:GO:1990357";6;"Cellular Component"
"C:GO:0042627";6;"Cellular Component"
"C:GO:0036464";6;"Cellular Component"
"C:GO:0034663";6;"Cellular Component"
"C:GO:0034361";6;"Cellular Component"
"C:GO:0031093";6;"Cellular Component"
"C:GO:0030864";6;"Cellular Component"
"C:GO:0030117";6;"Cellular Component"
"C:GO:0030056";6;"Cellular Component"
"C:GO:0008180";6;"Cellular Component"
"C:GO:0005923";6;"Cellular Component"
"C:GO:0005839";6;"Cellular Component"
"C:GO:0005643";6;"Cellular Component"
"C:GO:0002102";6;"Cellular Component"
"C:GO:0000228";6;"Cellular Component"
"P:GO:2001020";5;"Biological Process"
"P:GO:2000352";5;"Biological Process"
"P:GO:1902476";5;"Biological Process"
"P:GO:1900034";5;"Biological Process"
"P:GO:0098609";5;"Biological Process"
"P:GO:0090502";5;"Biological Process"
"P:GO:0071901";5;"Biological Process"
"P:GO:0071526";5;"Biological Process"
"P:GO:0071456";5;"Biological Process"
"P:GO:0061136";5;"Biological Process"
"P:GO:0060351";5;"Biological Process"
"P:GO:0060346";5;"Biological Process"
"P:GO:0060325";5;"Biological Process"
"P:GO:0051918";5;"Biological Process"
"P:GO:0051881";5;"Biological Process"
"P:GO:0051607";5;"Biological Process"
